Year,Selected Stations,AvgPollution,MeanTemp,TempRange
2000,"bandaraya melaka, melaka",63.0,27.95,27–28
2000,"larkin, johor bahru",63.0,27.599999999999998,27–28
2000,"seberang jaya, pulau pinang",65.5,27.799999999999997,27–28
2001,"bandaraya melaka, melaka",65.0,27.9,27–28
2001,"larkin, johor bahru",64.5,27.5,27–28
2001,"seberang jaya, pulau pinang",74.0,28.05,28–29
2002,"bandaraya melaka, melaka",55.0,28.45,28–29
2002,"larkin, johor bahru",60.0,27.25,27–28
2002,"seberang jaya, pulau pinang",59.5,28.45,28–29
2003,"bandaraya melaka, melaka",60.0,28.150000000000002,28–29
2003,"larkin, johor bahru",57.0,27.25,27–28
2003,"seberang jaya, pulau pinang",58.5,28.2,28–29
2004,"bandaraya melaka, melaka",76.0,28.35,28–29
2004,"larkin, johor bahru",67.0,27.45,27–28
2004,"seberang jaya, pulau pinang",64.5,28.400000000000002,28–29
2005,"bandaraya melaka, melaka",58.0,28.45,28–29
2005,"larkin, johor bahru",56.0,27.45,27–28
2005,"seberang jaya, pulau pinang",80.5,28.299999999999997,28–29
2006,"bandaraya melaka, melaka",79.0,28.1,28–29
2006,"larkin, johor bahru",74.0,27.3,27–28
2006,"seberang jaya, pulau pinang",63.5,28.05,28–29
2007,"bandaraya melaka, melaka",48.0,28.0,27–28
2007,"larkin, johor bahru",70.5,27.05,27–28
2007,"seberang jaya, pulau pinang",54.5,27.799999999999997,27–28
2008,"bandaraya melaka, melaka",41.5,28.0,27–28
2008,"larkin, johor bahru",53.0,26.9,26–27
2008,"seberang jaya, pulau pinang",52.5,27.65,27–28
2009,"bandaraya melaka, melaka",70.5,28.05,28–29
2009,"larkin, johor bahru",50.5,27.4,27–28
2009,"seberang jaya, pulau pinang",55.5,27.65,27–28
2010,"bandaraya melaka, melaka",80.5,28.25,28–29
2010,"larkin, johor bahru",63.0,27.75,27–28
2010,"seberang jaya, pulau pinang",60.5,28.55,28–29
2011,"bandaraya melaka, melaka",54.5,27.85,27–28
2011,"larkin, johor bahru",43.5,27.6,27–28
2011,"seberang jaya, pulau pinang",52.0,28.200000000000003,28–29
2012,"bandaraya melaka, melaka",43.0,27.9,27–28
2012,"larkin, johor bahru",69.5,27.6,27–28
2012,"seberang jaya, pulau pinang",55.5,28.1,28–29
2013,"bandaraya melaka, melaka",215.5,28.15,28–29
2013,"larkin, johor bahru",121.5,28.05,28–29
2013,"seberang jaya, pulau pinang",79.5,27.95,27–28
2014,"bandaraya melaka, melaka",66.5,28.200000000000003,28–29
2014,"larkin, johor bahru",104.0,27.85,27–28
2014,"seberang jaya, pulau pinang",66.5,28.1,28–29
2015,"bandaraya melaka, melaka",91.0,28.45,28–29
2015,"larkin, johor bahru",110.0,28.049999999999997,28–29
2015,"seberang jaya, pulau pinang",148.0,28.1,28–29
2016,"bandaraya melaka, melaka",46.0,28.85,28–29
2016,"larkin, johor bahru",57.0,28.65,28–29
2016,"seberang jaya, pulau pinang",47.0,28.450000000000003,28–29
2017,"bandaraya melaka, melaka",61.0,26.65,26–27
2017,"larkin, johor bahru",59.0,28.05,28–29
2017,"seberang jaya, pulau pinang",122.5,28.6,28–29
2018,"bandaraya melaka, melaka",80.5,28.0,27–28
2018,"larkin, johor bahru",53.5,27.9,27–28
2018,"seberang jaya, pulau pinang",76.0,28.25,28–29
2019,"bandaraya melaka, melaka",121.5,28.5,28–29
2019,"larkin, johor bahru",98.5,28.35,28–29
2019,"seberang jaya, pulau pinang",109.5,28.549999999999997,28–29
2020,"bandaraya melaka, melaka",59.0,28.15,28–29
2020,"larkin, johor bahru",57.0,28.299999999999997,28–29
2020,"seberang jaya, pulau pinang",60.0,28.450000000000003,28–29
